Number,Date_Time,info,source,Core_info_final,year
585978391360221184,2015-04-09 01:31:50+00:00,Breast cancer risk test devised http://bbc.in/1CimpJF,bbchealth,Breast cancer risk test devised ,2015
585947808772960257,2015-04-08 23:30:18+00:00,GP workload harming care - BMA poll http://bbc.in/1ChTBRv,bbchealth,GP workload harming care - BMA poll ,2015
585947807816650752,2015-04-08 23:30:18+00:00,Short people's 'heart risk greater' http://bbc.in/1ChTANp,bbchealth,Short people's 'heart risk greater' ,2015
585866060991078401,2015-04-08 18:05:28+00:00,New approach against HIV 'promising' http://bbc.in/1E6jAjt,bbchealth,New approach against HIV 'promising' ,2015
585794106170839041,2015-04-08 13:19:33+00:00,Coalition 'undermined NHS' - doctors http://bbc.in/1CnLwK7,bbchealth,Coalition 'undermined NHS' - doctors ,2015
585733482413891584,2015-04-08 09:18:39+00:00,Review of case against NHS manager http://bbc.in/1Ffj6ci,bbchealth,Review of case against NHS manager ,2015
585733481608646657,2015-04-08 09:18:39+00:00,"VIDEO: 'All day is empty, what am I going to do?' http://bbc.in/1N7wSSz",bbchealth,"VIDEO: 'All day is empty, what am I going to do?' ",2015
585701601131765761,2015-04-08 07:11:58+00:00,VIDEO: 'Overhaul needed' for end-of-life care http://bbc.in/1CmrRu3,bbchealth,VIDEO: 'Overhaul needed' for end-of-life care ,2015
585620828110397440,2015-04-08 01:51:00+00:00,Care for dying 'needs overhaul' http://bbc.in/1FdSGrl,bbchealth,Care for dying 'needs overhaul' ,2015
585437294120677376,2015-04-07 13:41:42+00:00,VIDEO: NHS: Labour and Tory key policies http://bbc.in/1Ci5eqD,bbchealth,VIDEO: NHS: Labour and Tory key policies ,2015
585437293399252992,2015-04-07 13:41:42+00:00,Have GP services got worse? http://bbc.in/1Ci5c22,bbchealth,Have GP services got worse? ,2015
585376127931129857,2015-04-07 09:38:39+00:00,A&amp;E waiting hits new worst level http://bbc.in/1Fa4Xgz,bbchealth,A&amp;E waiting hits new worst level ,2015
585283574888206336,2015-04-07 03:30:52+00:00,Parties row over GP opening hours http://bbc.in/1CfcVOb,bbchealth,Parties row over GP opening hours ,2015
585231549819330560,2015-04-07 00:04:09+00:00,Why strenuous runs may not be so bad after all http://bbc.in/1Ceq0Y7,bbchealth,Why strenuous runs may not be so bad after all ,2015
584985578074050560,2015-04-06 07:46:44+00:00,VIDEO: Health surcharge for non-EU patients http://bbc.in/1C5Mlbk,bbchealth,VIDEO: Health surcharge for non-EU patients ,2015
584985576962592768,2015-04-06 07:46:44+00:00,VIDEO: Skin cancer spike 'from 60s holidays' http://bbc.in/1C9Gy3o,bbchealth,VIDEO: Skin cancer spike 'from 60s holidays' ,2015
584901557218480129,2015-04-06 02:12:52+00:00,"80,000 'might die' in future outbreak http://bbc.in/1F3nif2",bbchealth,"80,000 'might die' in future outbreak ",2015
584893680747585537,2015-04-06 01:41:34+00:00,Skin cancer 'linked to holiday boom' http://bbc.in/1Pb4Xjb,bbchealth,Skin cancer 'linked to holiday boom' ,2015
584140478720811008,2015-04-03 23:48:37+00:00,Public 'back tax rises to fund NHS' http://bbc.in/1ETauYE,bbchealth,Public 'back tax rises to fund NHS' ,2015
584140477718339584,2015-04-03 23:48:37+00:00,VIDEO: Welcome to the designer asylum http://bbc.in/1CD3Dip,bbchealth,VIDEO: Welcome to the designer asylum ,2015
583959459589824513,2015-04-03 11:49:19+00:00,VIDEO: Why are we having less sex? http://bbc.in/19RKqiY,bbchealth,VIDEO: Why are we having less sex? ,2015
583837541373059073,2015-04-03 03:44:51+00:00,Five ideas to transform the NHS http://bbc.in/1BTQU7k,bbchealth,Five ideas to transform the NHS ,2015
583784740064337920,2015-04-03 00:15:02+00:00,Personal cancer vaccines 'exciting' http://bbc.in/1ENwsMD,bbchealth,Personal cancer vaccines 'exciting' ,2015
583770728090112000,2015-04-02 23:19:22+00:00,Child heart surgery deaths 'halved' http://bbc.in/1BT4s2U,bbchealth,Child heart surgery deaths 'halved' ,2015
583745704021008384,2015-04-02 21:39:55+00:00,VIDEO: Miliband: Cameron 'failed' the NHS http://bbc.in/1BSKo0T,bbchealth,VIDEO: Miliband: Cameron 'failed' the NHS ,2015
583659491310219264,2015-04-02 15:57:21+00:00,Unsafe food 'growing global threat' http://bbc.in/1BREQDJ,bbchealth,Unsafe food 'growing global threat' ,2015
583616089340280832,2015-04-02 13:04:53+00:00,Health highlights http://bbc.in/1EKlFCK,bbchealth,Health highlights ,2015
583550348352212992,2015-04-02 08:43:39+00:00,Ambulance progress 'not fast enough' http://bbc.in/1P1AJyX,bbchealth,Ambulance progress 'not fast enough' ,2015
583406140337164288,2015-04-01 23:10:37+00:00,Children’s hospital builds sleep app http://bbc.in/1BO9jlZ,bbchealth,Children’s hospital builds sleep app ,2015
583406139561250816,2015-04-01 23:10:37+00:00,Drug giant 'blocks' eye treatment http://bbc.in/1P0rpv2,bbchealth,Drug giant 'blocks' eye treatment ,2015
583398284166733824,2015-04-01 22:39:24+00:00,Blood test for Down's syndrome hailed http://bbc.in/1BO3eWQ,bbchealth,Blood test for Down's syndrome hailed ,2015
583398283441119232,2015-04-01 22:39:24+00:00,VIDEO: 'We must plan for future of NHS' http://bbc.in/1BRNoeJ,bbchealth,VIDEO: 'We must plan for future of NHS' ,2015
583054276848582656,2015-03-31 23:52:26+00:00,Paracetamol ‘no good for back pain' http://bbc.in/1MvP0oO,bbchealth,Paracetamol ‘no good for back pain' ,2015
583054275237978113,2015-03-31 23:52:26+00:00,Care system 'gets biggest shake-up' http://bbc.in/19Ad4Vy,bbchealth,Care system 'gets biggest shake-up' ,2015
583054274554245120,2015-03-31 23:52:26+00:00,VIDEO: Could existing drugs offer MS hope? http://bbc.in/1OWzSPT,bbchealth,VIDEO: Could existing drugs offer MS hope? ,2015
582968831796207616,2015-03-31 18:12:55+00:00,MS drug 'may already be out there' http://bbc.in/1BIUAZx,bbchealth,MS drug 'may already be out there' ,2015
582824135799140352,2015-03-31 08:37:56+00:00,VIDEO: Nursing code of conduct launched http://bbc.in/1BLrny7,bbchealth,VIDEO: Nursing code of conduct launched ,2015
582807922549256193,2015-03-31 07:33:31+00:00,VIDEO: Disability village 'under threat' http://bbc.in/1BLlj8L,bbchealth,VIDEO: Disability village 'under threat' ,2015
582729504533049344,2015-03-31 02:21:55+00:00,Uganda circumcision truck fights HIV http://bbc.in/1BKT2iJ,bbchealth,Uganda circumcision truck fights HIV ,2015
582687699485622272,2015-03-30 23:35:48+00:00,More veterans seek mental health aid http://bbc.in/1DhbCnf,bbchealth,More veterans seek mental health aid ,2015
