source,year,Tweets_cleaned,Cluster_labels,month,day_of_week,vectors
goodhealth,2011,wheat watchglutenfree beer really safe celiac,0,12,5,"[0.05957401543855667, -0.40907374024391174, 0.6294717788696289, 0.49048861861228943, -0.013279511593282223, 0.5672590732574463, 0.5400784015655518, 0.2828756272792816, -0.7117263078689575, 0.21501199901103973, 1.225638508796692, 0.405646950006485, -0.2732648551464081, -0.64825040102005, 0.01385631412267685, -0.3718690574169159, 0.5540090203285217, 0.6426377892494202, -0.8436957597732544, -0.0714130848646164, 0.03271178901195526, -0.30802637338638306, 0.353397011756897, 1.0651168823242188, 0.3562873601913452, 0.6447762250900269, 0.03312908485531807, 0.4760732054710388, 0.5665801167488098, -1.4238709211349487]"
goodhealth,2011,mood casserole tonite lowcal lowfat,0,12,5,"[-0.05187521502375603, -0.30507344007492065, 0.5277904868125916, -0.16043302416801453, 0.14596398174762726, 0.6280945539474487, 0.562122642993927, 0.03507670760154724, -1.0432969331741333, 0.4474593997001648, 0.8470817804336548, 0.6432434916496277, -0.2505233883857727, -0.6384548544883728, 0.08233041316270828, -0.26098915934562683, 0.34600314497947693, 0.4007440507411957, -0.9764417409896851, 0.385320782661438, -0.2824719250202179, -0.4217209815979004, 0.17021016776561737, 1.362773060798645, 0.3895776569843292, 0.7159503698348999, 0.22680723667144775, 0.06287963688373566, 0.6258641481399536, -1.3938053846359253]"
goodhealth,2011,go tonight easy getgorgeous makeup tip,0,12,5,"[-0.021747156977653503, -0.3229683041572571, 0.5503299236297607, -0.017557242885231972, 0.052455902099609375, 0.5819301605224609, 0.3925224542617798, 0.1639300137758255, -0.8989235162734985, 0.36089301109313965, 1.0388106107711792, 0.6038907170295715, -0.1463889479637146, -0.7626477479934692, 0.07491457462310791, -0.3560103476047516, 0.47707971930503845, 0.4869720935821533, -0.9088814854621887, 0.06073981896042824, -0.13412290811538696, -0.3135461211204529, 0.29451796412467957, 1.21628999710083, 0.29460784792900085, 0.7519157528877258, 0.11819891631603241, 0.15057791769504547, 0.6396759748458862, -1.2954355478286743]"
goodhealth,2011,ready start think lose weight,0,12,3,"[0.05787888541817665, -0.369914710521698, 0.6048187613487244, 0.10424652695655823, 0.1399289220571518, 0.6999729871749878, 0.4179171919822693, 0.07639195024967194, -0.9705951809883118, 0.4770185053348541, 1.0765151977539062, 0.5812475085258484, -0.13100668787956238, -0.7175741791725159, 0.09176994860172272, -0.38963600993156433, 0.47900819778442383, 0.5028454661369324, -1.0102468729019165, 0.1588205248117447, -0.1554078757762909, -0.4797912836074829, 0.2594534456729889, 1.3835543394088745, 0.37141451239585876, 0.8455815315246582, 0.20626144111156464, 0.2758861184120178, 0.690615713596344, -1.5501917600631714]"
goodhealth,2011,eye year eve pretty party dress,0,12,3,"[-0.10775771737098694, -0.11672255396842957, 0.30370032787323, -0.5402635335922241, 0.45896100997924805, 0.7298325300216675, 0.4028581976890564, -0.051081445068120956, -1.1124048233032227, 0.6505531668663025, 0.49072885513305664, 0.8321804404258728, -0.13835346698760986, -0.5229284167289734, 0.10291294753551483, 0.04853856563568115, 0.06846215575933456, -0.12599973380565643, -0.8798405528068542, 0.5145459771156311, -0.07146630436182022, -0.4817527234554291, 0.22023320198059082, 1.551162838935852, 0.38987624645233154, 0.6077153086662292, 0.5011410117149353, -0.1670595407485962, 0.5462064743041992, -1.5532474517822266]"
goodhealth,2011,dangerous must avoid,0,12,3,"[0.08674143999814987, -0.5083619356155396, 0.5784924626350403, 0.3823074400424957, 0.058256443589925766, 0.6811639070510864, 0.46022993326187134, 0.2548254728317261, -0.7862451076507568, 0.3361961245536804, 1.0030438899993896, 0.3558279573917389, -0.28717270493507385, -0.8116921782493591, 0.0843421146273613, -0.2949298918247223, 0.5255312323570251, 0.5749322175979614, -0.568823516368866, 0.17449674010276794, -0.08980363607406616, -0.45871981978416443, 0.34827253222465515, 1.1320784091949463, 0.33124253153800964, 0.559736967086792, 0.07803796231746674, 0.3036377727985382, 0.6973379850387573, -1.398725152015686]"
goodhealth,2011,recipeoftheday zucchini oven chip much healthier alternative greasy potato kind bag,0,12,2,"[-0.07388593256473541, -0.3110058307647705, 0.5698853135108948, 0.058181438595056534, 0.10183150321245193, 0.57088303565979, 0.450928270816803, 0.06687252223491669, -0.8534984588623047, 0.3302288353443146, 1.0478942394256592, 0.4812543988227844, -0.1331721693277359, -0.7441110610961914, 0.05879922956228256, -0.3132987916469574, 0.5363579392433167, 0.49491915106773376, -0.9731401801109314, 0.2215108424425125, -0.09688068181276321, -0.3924470841884613, 0.2168189436197281, 1.2501832246780396, 0.371553897857666, 0.8027864098548889, 0.08790170401334763, 0.23590753972530365, 0.5698041915893555, -1.3656069040298462]"
goodhealth,2011,lose pound send info weightlosshealthyahoocom,0,12,2,"[-0.2577492296695709, -0.29290807247161865, 0.6706350445747375, -0.2060690075159073, 0.2527804672718048, 0.45556193590164185, 0.5370850563049316, 0.12206705659627914, -1.1849013566970825, 0.32298699021339417, 0.5361437797546387, 0.6816921234130859, -0.2040688693523407, -0.6138968467712402, 0.13695462048053741, -0.3214761018753052, 0.4209752678871155, 0.22263358533382416, -1.1625672578811646, 0.4380798041820526, -0.17469796538352966, -0.5218099355697632, 0.11630178987979889, 1.1341917514801025, 0.22392110526561737, 0.6231509447097778, 0.26693233847618103, 0.1643127053976059, 0.6264336705207825, -1.3261864185333252]"
goodhealth,2011,resolution,0,12,2,"[-0.04465227574110031, -0.301419734954834, 0.5342351794242859, 0.061702702194452286, 0.12318280339241028, 0.6188831329345703, 0.48599913716316223, 0.0738903060555458, -0.9023694396018982, 0.3752458393573761, 0.9865758419036865, 0.5278434753417969, -0.1743554174900055, -0.6759751439094543, -0.003701667534187436, -0.32960522174835205, 0.4461759924888611, 0.3968240022659302, -0.9819363951683044, 0.16824398934841156, -0.12305255234241486, -0.39730629324913025, 0.2983972728252411, 1.3028289079666138, 0.2511715590953827, 0.8186469078063965, 0.21153239905834198, 0.25096073746681213, 0.5419186949729919, -1.336419701576233]"
goodhealth,2011,recipeoftheday whats dinner tonight,0,12,1,"[-0.058684092015028, -0.10617541521787643, 0.43662574887275696, -0.2591082453727722, 0.2315312772989273, 0.7212259769439697, 0.5301017761230469, 0.03803783655166626, -1.105762243270874, 0.579311192035675, 0.6907123327255249, 0.6426676511764526, -0.226644366979599, -0.4895446300506592, 0.07160305976867676, -0.1812790334224701, 0.21991746127605438, 0.0049802325665950775, -0.9079340696334839, 0.4219324290752411, -0.23192761838436127, -0.42504504323005676, 0.33252885937690735, 1.4743847846984863, 0.3962118625640869, 0.6951252818107605, 0.3595375120639801, -0.05005350708961487, 0.634425163269043, -1.607826828956604]"
