Number,Date_Time,info,source,Core_info_final,year
285810840807034880,2012-12-31 18:13:09+00:00,Baby boomer nuns help revolutionize health care http://at.cnn.com/yDt3ZND,cnnhealth,Baby boomer nuns help revolutionize health care ,2012
285008714027646978,2012-12-29 13:05:47+00:00,Hope for hearing: Cochlear implants http://at.cnn.com/9VObNIA,cnnhealth,Hope for hearing: Cochlear implants ,2012
284887643743989760,2012-12-29 05:04:41+00:00,"How to keep up your energy all day, every day http://at.cnn.com/AHjiMvn",cnnhealth,"How to keep up your energy all day, every day ",2012
284766757007278081,2012-12-28 21:04:20+00:00,"10 exciting #science milestones of 2012, from @cnnlightyears http://at.cnn.com/ziAXmjf",cnnhealth,"10 exciting #science milestones of 2012, from @cnnlightyears ",2012
284406046070550528,2012-12-27 21:11:00+00:00,Geneticists studying Connecticut shooter's DNA http://at.cnn.com/bI6Pyac,cnnhealth,Geneticists studying Connecticut shooter's DNA ,2012
284312157066231808,2012-12-27 14:57:55+00:00,"From Obamacare to flesh-eating bacteria, here are our top 2012 #health stories. What were your favorite stories? http://at.cnn.com/FYpcqzB",cnnhealth,"From Obamacare to flesh-eating bacteria, here are our top 2012 #health stories. What were your favorite stories? ",2012
284121336140414976,2012-12-27 02:19:39+00:00,"Food #allergies are serious, but some kids are getting bullied because of them http://at.cnn.com/Mrxl8XE",cnnhealth,"Food #allergies are serious, but some kids are getting bullied because of them ",2012
284000180750127105,2012-12-26 18:18:14+00:00,How to stop wasting #food. http://at.cnn.com/9D5MKDZ Do you have other tips?,cnnhealth,How to stop wasting #food. ,2012
283616171603935232,2012-12-25 16:52:19+00:00,@WilliamCNN donated his bone marrow --here's why: http://at.cnn.com/JSONalc,cnnhealth,@WilliamCNN donated his bone marrow --here's why: ,2012
283495313317179392,2012-12-25 08:52:04+00:00,Toy recalled; ingestion risk http://at.cnn.com/jFeuFdG,cnnhealth,Toy recalled; ingestion risk ,2012
283374299069423620,2012-12-25 00:51:12+00:00,"For some, the holidays are depressing. Mental health expert Dr. Charles Raison reflects on coping strategies http://at.cnn.com/hWUibwJ",cnnhealth,"For some, the holidays are depressing. Mental health expert Dr. Charles Raison reflects on coping strategies ",2012
283253336717787136,2012-12-24 16:50:32+00:00,Terror in the dust: 9/11 responders have increased risk of 3 cancers http://at.cnn.com/tNzFWle,cnnhealth,Terror in the dust: 9/11 responders have increased risk of 3 cancers ,2012
283231945578668033,2012-12-24 15:25:32+00:00,RT @jdwilson2: An interesting question for your Merry Christmas Eve: Should Santa Claus still be fat? http://www.cnn.com/2012/12/22/health/santa-claus-weight/index.html (via @Biggest ...,cnnhealth,RT @jdwilson2: An interesting question for your Merry Christmas Eve: Should Santa Claus still be fat? ,2012
